code	name	description
LPAL1990LCH	Personenauto - LPG - licht - pre Euro wetgeving (1990)	Personenauto - LPG - licht - pre Euro wetgeving (1990)
LPAL1990MED	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1990)	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1990)
LPAL1990ZWA	Personenauto - LPG - zwaar - pre Euro wetgeving (1990)	Personenauto - LPG - zwaar - pre Euro wetgeving (1990)
LPAL1991LCH	Personenauto - LPG - licht - pre Euro wetgeving (1991)	Personenauto - LPG - licht - pre Euro wetgeving (1991)
LPAL1991MED	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1997)	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1997)
LPAL1991ZWA	Personenauto - LPG - zwaar - pre Euro wetgeving (1997)	Personenauto - LPG - zwaar - pre Euro wetgeving (1997)
LPAL1992LCH	Personenauto - LPG - licht - pre Euro wetgeving (1992)	Personenauto - LPG - licht - pre Euro wetgeving (1992)
LPAL1992MED	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1992)	Personenauto - LPG - middelzwaar - pre Euro wetgeving (1992)
LPAL1992ZWA	Personenauto - LPG - zwaar - pre Euro wetgeving (1992)	Personenauto - LPG - zwaar - pre Euro wetgeving (1992)
LPALEUR1	Personenauto - LPG - Euro-1	Personenauto - LPG - Euro-1
LPALEUR2	Personenauto - LPG - Euro-2	Personenauto - LPG - Euro-2
LPALEUR3	Personenauto - LPG - Euro-3	Personenauto - LPG - Euro-3
LPALEUR4	Personenauto - LPG - Euro-4	Personenauto - LPG - Euro-4
LPALEUR5	Personenauto - LPG - Euro-5	Personenauto - LPG - Euro-5
LPALEUR6	Personenauto - LPG - Euro-6	Personenauto - LPG - Euro-6
LPALO3WCLCH	Personenauto - LPG - licht - pre Euro wetgeving (< 1992)	Personenauto - LPG - licht - pre Euro wetgeving (< 1992)
LPALO3WCMED	Personenauto - LPG - middelzwaar - pre Euro wetgeving (< 1992)	Personenauto - LPG - middelzwaar - pre Euro wetgeving (< 1992)
LPALO3WCZWA	Personenauto - LPG - zwaar - pre Euro wetgeving (< 1992)	Personenauto - LPG - zwaar - pre Euro wetgeving (< 1992)
LPALPR82LCH	Personenauto - LPG - licht - pre Euro wetgeving (< 1982)	Personenauto - LPG - licht - pre Euro wetgeving (< 1982)
LPALPR82MED	Personenauto - LPG - middelzwaar - pre Euro wetgeving (< 1982)	Personenauto - LPG - middelzwaar - pre Euro wetgeving (< 1982)
LPALPR82ZWA	Personenauto - LPG - zwaar - pre Euro wetgeving (< 1982)	Personenauto - LPG - zwaar - pre Euro wetgeving (< 1982)
LPALR3WC	Personenauto - LPG - pre Euro wetgeving (< 1992)	Personenauto - LPG - pre Euro wetgeving (< 1992)
LPEBEUR5	Personenauto plug-in hybride - benzine - Euro-5	Personenauto plug-in hybride - benzine - Euro-5
LPEBEUR6	Personenauto plug-in hybride - benzine - Euro-6	Personenauto plug-in hybride - benzine - Euro-6
LPEDEUA6	Personenauto plug-in hybride - diesel - Euro-6 pre-RDE	Personenauto plug-in hybride - diesel - Euro-6 pre-RDE
LPEDEUD6	Personenauto plug-in hybride - diesel - Euro-6 RDE	Personenauto plug-in hybride - diesel - Euro-6 RDE
LPEDEUR5	Personenauto plug-in hybride - diesel - Euro-5	Personenauto plug-in hybride - diesel - Euro-5
LTRDEUA6CL3	Trekker - diesel - licht - Euro-6 pre-RDE - N1 klasse 3	Trekker - diesel - licht - Euro-6 pre-RDE - N1 klasse 3
LTRDEUD6CL3	Trekker - diesel - licht - Euro-6 RDE - N1 klasse 3	Trekker - diesel - licht - Euro-6 RDE - N1 klasse 3
LTRDEUR1CL3	Trekker - diesel - licht - Euro-1 - N1 klasse 3	Trekker - diesel - licht - Euro-1 - N1 klasse 3
LTRDEUR2CL3	Trekker - diesel - licht - Euro-2 - N1 klasse 3	Trekker - diesel - licht - Euro-2 - N1 klasse 3
LTRDEUR3CL3	Trekker - diesel - licht - Euro-3 - N1 klasse 3	Trekker - diesel - licht - Euro-3 - N1 klasse 3
LTRDEUR4CL3	Trekker - diesel - licht - Euro-4 - N1 klasse 3	Trekker - diesel - licht - Euro-4 - N1 klasse 3
LTRDEUR4CL3DPF	Trekker - diesel - licht - Euro-4 - DPF - N1 klasse 3	Trekker - diesel - licht - Euro-4 - DPF - N1 klasse 3
LTRDEUR5CL3	Trekker - diesel - licht - Euro-5 - N1 klasse 3	Trekker - diesel - licht - Euro-5 - N1 klasse 3
LTREZEEV	Trekker - elektrisch - licht	Trekker - elektrisch - licht
